Summary,Sentiment
dont like this colour not matching and balt is to short its not value for money,negative
not good,negative
product is good flipkart delivered it on time but the installation was cancelled by the company with no further date given for installation i had put up a request on theor sote too but i got no reply lastly i had to call a local huy for installation,negative
it doesnt charge the phone properly have to keep it in sunlight for an hour only then it starts working but its the same story after every 10 days,negative
very bad qualityit did not fluffef as it was expectedwaste,negative
in 2nd day it is hang and not working,negative
very bad this,negative
not good quality,negative
bad quality,negative
very poor quality made out of recycled plastic battery affair fully charged works hardly for 1520 mins totally disappointed,negative
tracker is working fine but this watch doesnt have attractive watch faces,negative
not sure why there is 44 ratingthis is the worst product i ever boughtbought it for 125k last october 2020 and by now june 2021 i spent more than 5k for it in span of 8 months every month some or other issue like ro ggk sv coil 200 outlet sediment filter etcnot sure of pure it other models but this is defective implementation productits your guts and choice if u still choose this product,negative
very low quality plastics and other materials not worth as shown in photo not good,negative
worst product waste of my money,negative
not good,negative
sir jiwatch time isu,negative
build quality not good,negative
very poor condition in pencil sticks,negative
bad product no use,negative
pathetic qualitythe lights are very dimyou cannot see the food getting processed inside from outsideyou have to open the door everytime or have to be very precise with timer,negative
bad quality,negative
product was not good,negative
its a bad item dont purchase,negative
veri bad,negative
low performance,negative
service provided by flipkart was good even the product reached before the expected provided time however i am badly unsatisfied with the demo and installation provided by the ifb moreover we fell that the engineer was inexperienced and locked the machine after the demo due to which we had again called him and unlocked itadding to it ifb have forced to buy 2 pipes which cost around 1400 and some other cost for salt and washing powder which means the pipe comes with machine is of no use,negative
bad,negative
my name is laiba noor i am a resident of nainital district my mother used to face a lot of trouble in grinding kitchen masala due to which we used to go to the neighbors house to get the spices ground from the mixer a day my name is laiba noor i am a resident of nainital district my mother used to face a lot of trouble in grinding kitchen masala due to which we used to go to the neighbors house to get the spices ground from the mixer a day,negative
bad quality product,negative
dented and no room to stretch legs dumb manufacturers,negative
bad color,negative
quality is not good expected better quality,negative
my machine is ok now but didnt get any pico parts to do the expert who came to show me how to operate this machine said that online shopping create this problem if you directly buy the machine from company then it will not be happened,negative
not expensive good product,negative
its ok not good,negative
received broken plate and bowl,negative
picking is not good,negative
not growing seeds many,negative
very bad product very high bass lowers the quality of real music andsmall cushions makes ears get pained after use of 510 minutes,negative
please dont buy thistoo transparentwhen you try to return they say some error occurred any you cant return waste of money,negative
cam quality is not good as expected,negative
dont buy this product not connecting properly automatically disconnected waste of money no replacement is thire worst product from google company,negative
quality was superb for this particular piece and thats why i ordered one more but that one was bizzar colour was faded welding was worst and broken from many sides even the packing was changed take more money but be consistent,negative
google lagged behind alexa,negative
after few weeks of use it started hanging and the processor is very slow camera front and rear both are not at all good and pixel quality is really really poor this is my worst purchase till date,negative
just worked for 3 months then i couldnt recharge the battery automatically switched off,negative
remote control not working,negative
quality bad,negative
nice product but low quality,negative
best for small spaceeasy to install but the fabric quality was not good otherwise product was good,negative
saund low,negative
so bad,negative
very danger and bad smell in ballon curtain air pump like pain the head very bad but product quality is supper,negative
the car is so thick his not strong he crashed,negative
quality is bad plywood layer not lasted for even one year not worth the cost,negative
quality is very poor not worth the money,negative
very very poor quality,negative
dont heat too much time,negative
one is little with loose cap,negative
ok but wheel is not good,negative
a very slow charger even a normal charger is better than this dont waste your money,negative
not so goodexpectation not meetsquality too poor,negative
motor over heat,negative
really disappointed with the itemproduct is good but i have received only for 21 daysnot a 28 days one,negative
motor getting heated in first time itself,negative
very worst instalation service plz dont go through this item,negative
zip quality is poor,negative
avarage so so not good not bad modeate,negative
very very chip dont like to product,negative
totally worst product,negative
slow charging,negative
size is not fit as mentioned,negative
very bad quality,negative
waste of money,negative
uneven stitching not true to size one size small than mentioned,negative
very small size of plates and bowls and quality is very bad,negative
worst model all user please dont buy,negative
only two blades are there but in other companies mixer grinder there are 4 blades most of the pots are unable to keep liquid paste leakage is there,negative
very bad,negative
got a defective fan,negative
poor quality,negative
suction power is less and heating badly,negative
one of these two has worst quality different fabric n different elastic,negative
very bad product quality,negative
very bad,negative
worst product,negative
this is a usless product i tried to connect it with my tv but it cant only its a bluetooth speaker which you can get from 200 rupee dont waste your money with this,negative
wroth product not good,negative
received damaged product how can flipkart sell damaged products also packing was torn disappointed,negative
cooler not provide cool air because 1year experience,negative
break shoo very worst quality fitting very worst,negative
very bad,negative
fabric is not good,negative
good product but not comfortable,negative
i used the kettle 6 month and now the kettle is not working,negative
very bad quality dont buy this product waste of money,negative
bad product first time ordered 30 diapers among which 5 leaked second time ordered again 30 diapers the first one just used and it leaked lets see how the rest are not going to order again,negative
tis is verey badthis is cheating not returned policy,negative
one bowl broken very badly,negative
its good football in low price and have no blader as a basketball,negative
adjustment of brightness is not working needed more brightness,negative
i did not expect such a good performance not sure why this hasnt picked up in india should have opted for bigger one anyway so far so good,negative
dont buy online heavy price electronicsthis model is too old,negative
quality is not good and stitching is very weak,negative
good but not better,negative
not suitable for india,negative
very good productim happy but stestar bad quality,negative
very bad quality,negative
very very bad quality i succeds dont buy is,negative
no useful in any way unnecessary product,negative
price very high,negative
i didnt like the products not a single seeds able to produce a plant or flowers,negative
weast of our moneyworst product,negative
smeel not well,negative
not satisfied with the product and services,negative
very very bad size no stander size,negative
worst product dont buy this product waste of money not working after 10 days usage,negative
usb cable and slot is not available,negative
not satisfied with your product very cheap,negative
very bad,negative
dont buy if you want for uv type water purifier uv is just showpiece,negative
one month completed i have raised a complaint still its not been resolvedthe product is picked by the return pick up guysbut still not showing in flipkarts system about the returnvery bad experience,negative
very bad,negative
west mony bed quality,negative
cushion cover is not good very thin clothe,negative
product quality bad,negative
i gave a 5 star rating when i purchased it but within months the handle broke dont buy as it wont last long,negative
waste pics,negative
short siza,negative
not satisfied with quality,negative
im using for samsung s20 fe 5g nothing much different than 15w stock charger and 25w costly charger just 10mints different not worth buying,negative
not good,negative
dont buy this producti bought this before 25 days but now its stop working worst product,negative
do not buy this product their kits does not work at all nor their applications or kit scanning numbers work,negative
slow charger,negative
material quality is very poor dont go for it,negative
very bad quality and color is fade,negative
no action has been taken with this medicine revitel man not working,negative
after getting received this tv at my home installation person came and gave the demo at that time tv started but from the next day regular some problem occurs and after repair request also no one is responding or the repair person didnt come to check it so i am really unsatisfied and frustrated customer for this product,negative
it a very bad prodect,negative
a worst ballit had a rough surface and it hits on our toe if we kick itand is heavy but the design will not get rubbed,negative
not balancing the phone properly,negative
not good,negative
the delivery is very very very bad,negative
dont match expectations,negative
it will give you smoke and get smell like wire burning the batter also will get same smell dosa and idly after prepared also will be throughing same smell worst product dont buy it even after replaced with new one also the new one is also working in same manner please dont buy it at all,negative
not that powerfull,negative
bad product,negative
not working,negative
never ever try to purchase this product its quality is too poor stopped working in 2 months from its plug to base to entire product is made in china and quality justifies it,negative
totally disappointedi always think flipkart is trusted this time total disappointed this motorola amphisound is not effective sound quality is very poor no bass and trable effectswe cant enjoy music for music lovers its fail product i tried for refund within 24 hrsbut there is no option for refund from flipkart,negative
for filter they charged 1200 worst maintainence is too high never go with this,negative
wi fi is not working properly and even tubi cast was not working,negative
vendor is not interested to do businessfrankly do not order internally its send me wrong size and colorflipkart kindly report this vendoryou should ban on this vendorspathetic too much pathetic,negative
bad,negative
just ok ok m not happy,negative
very bad,negative
dont buy totally wasteuseless engineer who made thischeating flipcart,negative
bad quality fabrics,negative
not very good ok ok,negative
very very bad,negative
the review is after 50 days of purchase very low quality seeds were sent some germinated but died after few days poor quality please sell geniune products,negative
not good,negative
material not that good overpriced,negative
but i cant connect with music that why i dont like,negative
gets heated,negative
damaged product received and also flipkart also has not resolved the issue,negative
fm radio very poor,negative
it was damaged,negative
bad,negative
plastic is very bad,negative
worst dont buy,negative
freezercool is not controlled it was very cool,negative
low material,negative
worst product and there is no heater functionality not value for moneybetter to go for know brands in price range,negative
very poor cannot work on folded cloth too costly compared to quality dont buy this product,negative
no doubt the product is working very fine but the delivery man was very rude and poorly handled my product my carton box was damaged and fortunately product was safe but this defines the bad delivery handling system of flipkart,negative
dont buy this product,negative
clothes drier is not working,negative
worst product ever received by flipkart reason sole its not good third class product who ever the vechlo maker is,negative
not sure why there is 44 ratingthis is the worst product i ever boughtbought it for 125k last october 2020 and by now june 2021 i spent more than 5k for it in span of 8 months every month some or other issue like ro ggk sv coil 200 outlet sediment filter etcnot sure of pure it other models but this is defective implementation productits your guts and choice if u still choose this product,negative
sound quality not better,negative
very worst,negative
poor product not at all as described,negative
very bad,negative
ordinary product quality is not good im not satisfied and also late delivery,negative
i really liked the color and ordered this green trouser but when i received it i saw that the stuff is not good as shown in picture the material is very tight on legs and everything is visible then,negative
waste,negative
its ok but it creates a sound after it is switched off its the sound of fan that stops,negative
bad product and bad finishingprice high,negative
decent performance but some drawbacks you cant open medium quality pics taken by other mobile in it its just a entry level processor dont expect more from it,negative
just a little jerk and it stopped working all the data is lost using other seagate drive for long time without any problemdata loss cost more than the disk completely useless,negative
bad,negative
worst product smells bad,negative
money waste product,negative
the turbo fan is not working at all,negative
please no one buy this product the quality is very poor it is not worth our money,negative
not happy for this product air throw not good,negative
these plates get cracked automaticallyworst quality,negative
quality is not good,negative
very so charging my charger not good work,negative
quality issue by look no issue but quality of product is so week,negative
why its motor speed slowed down after using 1week,negative
product is over heating,negative
a week after the delivery of the product remote stopped working and without remote its useless,negative
not good,negative
bad quality,negative
very slow tvwastage of moneyif anyone want to take this one buy from me,negative
quality is not good dont bye this product totally money west i request flipkart dont show this product,negative
this net is not good for cricket,negative
crompton ozone desert air cooler horizontal flap no working properly1 serves the purpose cooling is better than expected2 it smells worse i cant enter into my room if i switch on for one hour cant explain the situation even it cools the room if you cant stay then no use at all3 no water outlet if you fill 75 ltrs of effort and when bad smell comes with water turned greenish no way you can release water,negative
waste of money and time,negative
low sound not upto mark,negative
cast screen is not working perfectly,negative
quality is not good,negative
poor quality,negative
very bad product swich was jammed alredy very irritating,negative
bad product,negative
power unit high,negative
coler is very bad,negative
not so good,negative
if u r buying by looking wifi its horrible,negative
not good product this is not carpet it is bed sheets,negative
not well,negative
product is good but fragrance is very bad,negative
low quality dont buy,negative
bad product,negative
worst product after the wash colour gonenow this pant is used in my kitchen to take hot pots,negative
lots of lag not recommended for gaming and streaming,negative
quality is poor,negative
lens or headphone missing,negative
dont buy this itemvery cheep qualityitem changed,negative
this material was very thin not for daily use,negative
lo colite settup boxmobile cast not working properly in settup box no display,negative
very bad product voice is worst,negative
not good its broken,negative
its mentioned 18 kg but it is less than 1 kg bad expression of purchase,negative
best product but camera is very poor,negative
very bad,negative
plates size very small and 2 bowl r broken very disappointed,negative
was broken,negative
the hard disk got faulty after 2 months of purchase it cost me 15k to get my data recovered would never buy this hard disk again dont fall in the trap of a little discount,negative
absolute local speakers no effect at all waste of money dont buy,negative
waste,negative
poor build quality,negative
waste producti dont know how this product qualified flipkart quality check,negative
complete waste of money blower is not powerful and filtering capability is absymal,negative
weast of our moneyworst product,negative
not like,negative
sun quality consume not good,negative
i have problem in my tv displays,negative
poor quality product,negative
money waste product,negative
not good,negative
western of money,negative
taking long time,negative
cheap quality,negative
quality is very poor and i got different colour from i chose its very bad very bad experience will not buy anything from shopsee in future and i will try to deteriorate all of customers of shopsee worst app ever,negative
not good,negative
not properly stand without support,negative
cant use for blutooth calling,negative
very worst product,negative
motor is become hot very soon,negative
not good,negative
very very bad experience twice,negative
not even worth,negative
screws came loosescratch on bottom cornernoisy machineimproper assemblingoverall not looking fresh piece machinebad purchasing,negative
brake broke in 2 days,negative
good product but flesh is not good,negative
very bad mixer,negative
not that good,negative
long process for contacting customer supportthe speed is very lowif i want to exchange the productill have to spend again from my pocketoverall poor experience,negative
horrible product very bad experience dont buy its totally weste of money,negative
waste,negative
very bad product and wrost money,negative
bed,negative
not happy with the packing this chances for damages during transitnot good white colour its blueishthere is a bend in leaf its looks a difected product selling in discount,negative
storage space okquality is very poor,negative
worst product eververy short cabel 1mtr approxbecome useless just after 2 day of useslow heating even though it is 1500w,negative
it was good but i am not satisfied because it was 18 pieces of set but i got only 12 i did not get the 6pieces of bowl not satisfied with with these set,negative
not cooking well,negative
after using it for few days it has stopped working i will not recommend this product to anyone,negative
its not working,negative
low quality,negative
geting over heat,negative
very bad quality after one week its not working waste of money,negative
after 10 min working it s not working any more then after 30 min it working again,negative
not good low quality,negative
broken fly and repairing done at corners,negative
stitching not good so so,negative
waste of money dont buy it,negative
vary bad item money wasteso dont buy this type of product,negative
only look,negative
bad quality of product,negative
worst bad quality not fit,negative
used product,negative
quality is very bad fixing rods are not same measurements they are unequal totally money wate,negative
poor product,negative
bad product loss of money,negative
very bad installation,negative
waste ball,negative
body veey poor,negative
this product is very very bad,negative
not even a month into buying it and its already showing issues from my search online i see its drivers are faulty and need a replacement avoid if you can,negative
money waste,negative
very bad product no work waste 190 rupees no work on mobile and no work in pc its fake product,negative
very poor,negative
damage product,negative
good but battari weak,negative
bad,negative
very bad,negative
bad quality product dont buy,negative
dont buy this product on flipkart,negative
poor quality,negative
bad product,negative
very bad,negative
poor,negative
worst mistake of my lifedont buy and regret like meboat customer service is worst,negative
bad service,negative
writing not that goodsoso,negative
sakte is very bad cant able fixed properly,negative
it doesnt seems to be quality product stopped working in a day,negative
very bad,negative
quality not good,negative
worst quality dont waste your money on this product just cheap plastic also no finishing in the item,negative
not good,negative
bad quality,negative
yes i find out this product have so many potential this product sound is really fun bass full and very entertaining design is really good according to me and sound quality is very good but if we you on full volume the the base of this headphone bass is really huye headphone is not very comfortable after one hour or one and half hour you will find very uncomfortable,negative
not good material,negative
guys pls dont buy this set it cant bear heat at all it breaks while eating we lost 4 plates already n we didt even use it well worst product ever pls dnt buy it,negative
connection slow and worst experience ever,negative
poor quality,negative
neither good nor bad,negative
waste of moneyover heating all jars are smaller size,negative
low quality item,negative
after 2 month review air through cooling is not that good and the major problem is when we start rotation wing mode than vertical wing clash with horizontal wing due to it some row of horizontal wings get damaged really disappointed after paying that much facing such problem while using rotationdont go for this cooler,negative
very good inverter i used last 3 month no problem,negative
not good product,negative
just awesome i am not a pro but as my first football this is just great,neutral
very worest dont buy it,neutral
nice but sound more than normal mixer grinder,neutral
the sling of bag is very less,neutral
looking goodafter using this ill update my review,neutral
ok,neutral
it is goodbut size very small,neutral
very small size,neutral
its ok not much so far,neutral
just okay,neutral
marvellus product,neutral
ordinary,neutral
not bad,neutral
ok,neutral
ok,neutral
ok,neutral
very very good,neutral
ok,neutral
ok,neutral
dial size is too small,neutral
pros1good build quality2design for bass reflex and stereo mode3good battery backup approx 8 hr continue4better at this price pointcons1not heavy bass2 little heavy3poor microphone in call function4when switch on device the volume so loud and it irritating and when in phone call it is not possible to adjust volume from phone it adjust by manually from side up down button from device,neutral
genuine product,neutral
very good,neutral
ok,neutral
product is of average quality,neutral
ok,neutral
fragrance not gd,neutral
product not working properly,neutral
ok,neutral
colour of the item received is different from the one that was ordered it barely covers the knees for a 6 tall man the product quality is average,neutral
must buy,neutral
supar,neutral
not working this products,neutral
product quality good but adaptor not work properly with same device,neutral
ok,neutral
average qualitybut does the job,neutral
light weight hai,neutral
average quality,neutral
ok,neutral
small size,neutral
wrost product faded in first wash,neutral
i think it is good but it can be better,neutral
ok nice products,neutral
ok quality,neutral
ok,neutral
all balloon was blast very bat product,neutral
just okk,neutral
quality is good but price is too much for this size,neutral
nyc camera,neutral
really tuf gaming h,neutral
after 45 month its battery lasting 1 hrs after full charging,neutral
ok,neutral
from 40 varieties only 5 grow,neutral
it is good but not mix properly,neutral
one stop solution for indian economy for upsc,neutral
average,neutral
not suitable in innova 2013 model,neutral
still working after 10 months of purchase,neutral
ok,neutral
ok,neutral
ok,neutral
medium quality,neutral
nice but i guess capacity needs extinction,neutral
1 this laptop have 40 watt gpu but still give performance similar to 60 watt of same varient 2 battery backup is somewhat around 4 hrs depend upon work 3 heat yes it heat while playing heavy game but manageable i feel heat on keyboard but bearable but i recommend cooling pad,neutral
small,neutral
okay,neutral
how can i buy extra remote,neutral
mass,neutral
quality is too goodbut bol very small,neutral
avg,neutral
the stitching is not perfect the rest of the purse is good,neutral
ok,neutral
very soft,neutral
genuine product,neutral
came to terms with the money,neutral
ok,neutral
over larger,neutral
the product has been cult favourite everyone uses it in my house it is non sticky and non greasy,neutral
not a long life product mony westage product,neutral
pipe not hard2 rod breaked,neutral
average,neutral
suitable for beginners,neutral
ok,neutral
ok,neutral
average,neutral
just ok,neutral
ok,neutral
this football is good but there is an issue that is when i inject air into it its rubber cover have some cracks,neutral
very reasonable price,neutral
product is goodbut according to price features are little less,neutral
ok,neutral
ok,neutral
quality is too goodbut bol very small,neutral
looking good,neutral
ok,neutral
okay,neutral
not bad,neutral
ok ok,neutral
just average,neutral
cheap quality,neutral
very small in sizenot expected,neutral
not suitable for my car,neutral
highly erratic reading,neutral
after one washit become scrap one,neutral
ok,neutral
vera level shoe expect pana madhri irundhuchu,neutral
ok ok product,neutral
built quality is not up to the mark overall avearge,neutral
just okjust ok,neutral
wast,neutral
had a crack in the wing,neutral
good but not a best,neutral
its good but could be stronger bcz mobile fell from it twice,neutral
quality is average size is small,neutral
very transparent,neutral
was good but shd hve given more abt tht if set n keep becomes to much roast,neutral
ok,neutral
ok,neutral
average,neutral
ok,neutral
west quality,neutral
nice sound but no backup facility,neutral
100 pure camphor,neutral
very good product at this price range,neutral
size fitting issue,neutral
ok,neutral
the motor does not work how could you sell products online without a quality check,neutral
average,neutral
ok,neutral
everage product quality,neutral
just 400 gsm,neutral
ok,neutral
ok,neutral
not upto the expectation as the sides and bottom are with thin cloth,neutral
short in size,neutral
price is high,neutral
price is little high but its a good product for mini home theatre,neutral
off white color led lamp is suitable for this,neutral
simply awesome,neutral
average,neutral
the power bank is storing charge properly 3 out of 4 ports are working but the usb c port cannot detect the usb c cable so i have to use a converter jack to charge my iphone,neutral
its ok,neutral
average,neutral
ok,neutral
very very thin this products,neutral
okay,neutral
okay,neutral
wonder full yaaaaarrrr,neutral
ok,neutral
wrost joint,neutral
medium,neutral
mass,neutral
i tried many phones to connect to the purifier both apple of and android basedmotorola but it only worked with my friends mi phone i did reset the connection before each try even the share device function didnt work,neutral
ok,neutral
product is so cheap as quality is not up to mark,neutral
i have been covid positive in oct 2020my entire family got positive in april 2021 than i tried to buy oxigen concentrator since i could not buy oxigen concentratori had to buy air purifier air purifier may help only 10 to covid infected patientoxigen concentrator can help 90 to covid infected peopleoxigen cylender will help 100 to covid infected peopledont buy this product for saving life from covid 19 it wont helpif you want to clean your room air upto some extent thi,neutral
quality is good but air is not filling air comes out,neutral
its rotation is very very slowgrinding will taking a lot of time and its getting to hot in running timewaste of money,neutral
design is good but strap colour goes after use of one month didnt expect too low quality from a reputed brand not up to expectations design of dial is good,neutral
okay,neutral
only to boil water dont try to boil or cook anything else as i did the bottom surface from inside has been burnt,neutral
tq,neutral
my phone is infinix hot 8 and i got the same charger with it and made in india written in it but when i ordered this charger i saw that made in china is written in it but it charges well,neutral
didnt met the expectations,neutral
product is good but technician unable to set tds to 100 he set it to 25 and claims that product will not allow to set desired tds tds below 50 will not have minerals and is dangerous for health hope livpure will address this issue,neutral
do not buy only two month working,neutral
good quality,neutral
average product,neutral
ok,neutral
but warranty card is not available for inside,neutral
normal products,neutral
quality productbest in sound qualitybest in bass qualitybest in designbest with price rangegood bye,neutral
smooth and soft,neutral
ok,neutral
low quality good product,neutral
very small size,neutral
i hat dis product,neutral
ok,neutral
ok but not so good,neutral
good product but it is lagging at times,neutral
amazing product in low price i really liked this product,neutral
just ok,neutral
its nice but cloth quality is not so good,neutral
usefull,neutral
causes coughingi read all reviews before buying thiseven though it purifies air quicklyi got secondary allergy from activated carbon filterdid not work for mecaused more allergy,neutral
average,neutral
average product,neutral
ok,neutral
ok,neutral
wooowwww its percent working,neutral
only use 7 days so cannot say much about it in specification it is just similar to zolt model of the same company so why buy this buy zolt which is cheaper than this model only screen display change all other specification same,neutral
ok,neutral
okay,neutral
working silently got 6999,neutral
kinda very right,neutral
ok,neutral
little bit disappointed always on option is not there,neutral
genuine product,neutral
ok,neutral
only other wifi connect,neutral
not so satisfied but at this price its ok,neutral
i bought and could not work till time dueto water not fill and spray inside after installation completedi request to ask customercare also,neutral
i dont see much difference,neutral
this is ossm,neutral
small toys,neutral
good but wear is not comfortable,neutral
not bad,neutral
product is not working,neutral
average,neutral
nice product for normal uses,neutral
not bad but the fitting and finish is not good,neutral
very light weight,neutral
very niceproduct,neutral
ok,neutral
normal,neutral
smaller than expected,neutral
bast oil,neutral
reyaly use full,neutral
nice worth it,neutral
nic,neutral
so looking this product,neutral
if ur looking for a normal use non gamimg not advanced features phone just go for itits worth it,neutral
ok,neutral
ok type,neutral
okay,neutral
thanku,neutral
not made for professional use,neutral
ok ok,neutral
ok ok,neutral
jzz ok,neutral
all stone began to swell,neutral
small in size not ifor big room,neutral
quality,neutral
for price its okpu meterialonly one compartmentzip is not smoothso 3,neutral
in every water it showing same,neutral
hdmi auto display can be enabled by1 downloading the new system update from about option in settings2 after downloading and rebooting the mi tvunder inputsthe new option of stay on the previous source will be available and enabling this option can start tv with direct hdmi auto display,neutral
ok,neutral
overall ok,neutral
very use fully product,neutral
good product at this budget point build quality 45battery35 could be improved moredisplay 55performance 455 tested with mild uses works smoothly overall ratings 45windows 11 preinstalled but it doesnt comes with active ms365you have to buyflipkart delivery service 45,neutral
not working before 3 month,neutral
ok,neutral
avarage,neutral
water is leaking from the flask returned the product,neutral
ok no problem with that,neutral
just ok,neutral
nicr,neutral
a good cycle for daily use pricing is very competitive home installation is done on the 4th day after delivery free of cost standard accessories are also part of the bicycle pricing the seat can be adjusted depending on who is riding itall in all a very good buy i like what i got in reference of the doubts i have before placing the order online urban terrain fit plus as a whole is worth the trust,neutral
okkk,neutral
not as expected,neutral
one wash shrinked and faded the shorts,neutral
the product is looking good but the sound quality is not good,neutral
installation done secesfully,neutral
ok,neutral
ok,neutral
result after 20 days,neutral
its ok,neutral
ok,neutral
wifi connection and speed is very good but range is pathetic 5 gz channel it is may be 10 feet in the house which was expected but on 24 channel itvis almost the same my 5 years old belkin router range is much much better than this not suitable for long distance,neutral
ok,neutral
on loudly not good otherwise good,neutral
belt quality is not goodwaste of money in the name of brand,neutral
nice,neutral
ok,neutral
it has not been installed till today,neutral
awesome but noice is much,neutral
one holder was not working,neutral
must try,neutral
its make a tasty roast,neutral
not as expected,neutral
average,neutral
average product,neutral
heavy noise as you people its not cooling within 15 to mins even after after opening the window two sides,neutral
average score,neutral
average,neutral
no objections with the product but about the cost its expensive,neutral
how can i buy extra remote,neutral
ok,neutral
its real cocoa powder,neutral
just ok,neutral
size is very small suitable for small kids,neutral
small but good,neutral
ok,neutral
ok,neutral
quality,neutral
this ball is good but so hard,neutral
product on time,neutral
assom sound qualitygood product,neutral
ok,neutral
ok,neutral
overall its fineworth the price but the product i have received it leaks from the bottomwant to return,neutral
avarage product produce heavy sound but take less,neutral
joining of rack very tuff,neutral
ok,neutral
average,neutral
only two speakers apply,neutral
except battery battery backup others more or less okfull charge time 4 430hrsbattery backup time 2 230hrs,neutral
ok ok,neutral
wast money not purchase vey dad,neutral
plates are too small,neutral
very small remote,neutral
its only okay for kitchen purposes not to bath,neutral
ok,neutral
old seed,neutral
it is ok,neutral
rajesh,neutral
it reduces the under eye dark circles,neutral
quality is goodbut the dial is small than the picture and than i expected,neutral
osm,neutral
very nice product,neutral
ok,neutral
ok typesnot good nof bad,neutral
the product arrives you ask for a demo philips calls you once or twice you may not be free to answer they cancel your request real quick the best product to buy is one where customer service is good otherwise you will suffer every time you try to contact the company,neutral
screen cast not working properly,neutral
wonderfull sound effects battery life,neutral
ok,neutral
i am using this laptop for a month parformance waise is good gaming is very smooth but i face some buzz sound problem,neutral
not for regular swimmers,neutral
osm product and fabric is soft,neutral
ok,neutral
too much noise but working fine,neutral
in pic it was large but it was very small in real,neutral
avg quality,neutral
a fantastic product with a low price i love it but i got it without the needle to pump air in it it is very hard and bouncy and not very suitable for small children and only good for teenagers,neutral
same as shown,neutral
product is okaybut the steel is little thin,neutral
ok but need to improve design and look,neutral
after boil water not automatic switch off,neutral
brinjal round seed is absent,neutral
ok,neutral
looking good size too small,neutral
very appropriate for its use,neutral
good one for domestic use,neutral
ok,neutral
ok,neutral
average,neutral
upper cap was broken and the rod there was not hole for wire used old rode and cap fan was fine,neutral
delivery its too late but product is superbbb,neutral
100ok,neutral
product is genuinebut its price sometimes goes up and down,neutral
i hat dis product,neutral
chooper,neutral
its okay,neutral
the product is fine but it has a problem while playing music while playing music it stops in middle of the song and playing it has some bluetooth problem so please check it once,neutral
im very with this products,neutral
ok,neutral
ok,neutral
not bat,neutral
it is not showing any readingwhen i place it in glass of water,neutral
ok product,neutral
setting process is so defficultnot easy,neutral
product okim happy but deliver boy not okflipkart delivery not ok,neutral
fregrence are goodbut not long lasting,neutral
ok,neutral
nyc camera,neutral
ok,neutral
nice,neutral
costly but useful,neutral
average product,neutral
exellent,neutral
not bad,neutral
normal,neutral
not properly aligned it is slant,neutral
must buy product go for it,neutral
over heated,neutral
just ok,neutral
ok,neutral
ok,neutral
perfectly work with my jiofi hotspot controlling through my andorid mobile but its not support same mobile hotspot for wifi and controlling i used my laptop while use mobile hotspot its fast response device instade of older version running bit temperature extra remote control preferabl for easy use of others person while mobile are controller then if you have seperat bluetooth speaker then itll not work only google bluetooth speaker work by default tv audio eork only,neutral
transparent curtain,neutral
not bad,neutral
non sticky and light,neutral
ok,neutral
ok type,neutral
nice product but weighty is very heavy no wheels provided so that is is very difficult to move from one place to another,neutral
all the threads are coming out the ends curl,neutral
keep baking tray at central portion of oven cavity or else cake get burnt preheat at 200 for 10 min set at 200 degc and bake from upper and bottom heaters 30 to 35 min for cakes,neutral
classic design and iron,neutral
let see what after complete this,neutral
third quality product,neutral
ok,neutral
some scratches on it,neutral
good product thanku flipkart,neutral
below average demo,neutral
exact,neutral
decent,neutral
ok,neutral
ok,neutral
its sound very loudnot too good,neutral
just ok ok product,neutral
it has cholesterol,neutral
very small,neutral
too much noise at full speed,neutral
short in size,neutral
ok,neutral
suprb,neutral
ok,neutral
ok,neutral
ok,neutral
average,neutral
its ok,neutral
ok for this price,neutral
product is genuine recieved as per specification,neutral
this is a modified sine wave inverter not pure sine wave as mentioned in specifications,neutral
ok,neutral
very thin cloth,neutral
it is some rough ball it is good but we play for many time it will be came soft good ball,neutral
hp cartridges are best quality but costly also,neutral
good but not so goodit little bit heat when use,neutral
just oky,neutral
is it need to install,neutral
type c port only used for data transfer cant be used for charging or external display,neutral
ok,neutral
i tested yesterday its 5hr battery backup at 50 volume when it is fully charged bass is on average,neutral
good quality product but installation is little bit difficult,neutral
avarege,neutral
very giftedexicellent,neutral
average,neutral
ok,neutral
picture quality is good but tube casting very badpls dont purchase wife in built setup box,neutral
take more time to open and close,neutral
ok ok,neutral
if you are looking 1824 go for 612 size,neutral
phone cant withstand,neutral
it was goodbut segate software not working in my laptop,neutral
performance reduced after 2 months,neutral
just ok,neutral
ok,neutral
small money can by hepiness,neutral
very cheap quality after firstwash threads comes out and rubber coating washed completely,neutral
small size,neutral
very much nice quality and a good ball for bigginers but it is slightly hard,neutral
quality of ballon is besti suggest all when u required ballon then must buy this,neutral
if you have come this far order it,neutral
average,neutral
i was expecting something solid but it is very fragile on the top and from the sides,neutral
below quality standard and under size,neutral
not bad,neutral
average product could be used for sofas,neutral
not standard,neutral
football is best but shot sound not best,neutral
okok,neutral
bkwas item,neutral
temporary use for 23 month not longer time,neutral
very,neutral
ok,neutral
it is an average product,neutral
ok,neutral
ok,neutral
it will slowing down the mobile,neutral
average,neutral
ok ok,neutral
its size is too small than i expected overall good product because it helps alot i had purchased this kind of mobile holder 4 years ago and it was too good its size was also big but i forgot its companys name so i had to buy this adzoy stand,neutral
picture quality is normal,neutral
soft,neutral
it is very light it is now dirty but nothing ris ok,neutral
